isbn,title,rating_count,reviews,rating_value
9643058727,دن کامیلو و پسر ناخلف,827,45,4.24
964731616X,قهوه و سیگار با جارموش,165,15,3.91
9644530527,قلعه حیوانات,2298570,44263,3.91
9645643775,بچه‌های قالیباف‌خانه,272,24,3.67
9789643622305,هوا را از من بگیر خنده‌ات را نه!‏,6802,354,4.25
9789645881168,روزی که هزار بار عاشق شدم,109,9,2.83
Persian,زنان از دید مردان,3,0,4.00
9789648155044,جراح دیوانه,399,23,3.39
9644870492,مادراپور,431,21,3.80
9643690202,لکه‌های ته فنجان قهوه,40,1,2.55
9647468490,عقاید یک دلقک,17542,1081,4.03
Persian,در حیاطِ کوچکِ پاییز، در زندان / زندگی می‌گوید: امّا باز باید زیست... / دوزخ، امّا سرد,267,12,4.07
9649971750,منطق,919,93,3.65
9642090414,فاشیسم,592,97,3.49
Persian,آن‌جا که پنچرگیری‌ها تمام می‌شوند,78,9,2.60
Persian,مدایح بی‌صله,866,38,4.17
9789647948791,مبانی نظریه‌ی ادبی,277,27,3.65
Persian,عشق آباد,35,2,3.69
Persian,تهران در بعد از ظهر,946,60,3.21
Persian,كلیات اشعار شاه نعمت الله ولی,50,2,3.74
9789649139814,خورشید را بیدار كنیم,3031,123,3.99
9643691551,مرده‌ای که حالش خوب است,17,3,3.41
9643125750,گفت‌وگو با مرگ,284,40,4.12
Persian,مردی بدون وطن,35042,2295,4.08
964718803x,ما,56835,3625,3.94
0964775443,دیوان فروغ فرخزاد,2137,107,4.12
Persian,عزاداران بیل,1445,143,3.95
9643624101,دو قدم این ور خط,261,26,3.15
9641911422,سنتائور,3901,223,3.70
Persian,جن نامه,392,28,3.84
0141183535,A Room of One's Own,90394,5205,4.13
Persian,نام ها و سایه ها,55,5,2.95
9643691578,سه‌گانه‌ی نیویورک,50272,2868,3.91
9643691616,گهواره‌ی گربه,305528,9357,4.17
9643112586,تازه عروس,120,5,2.89
9643113418,یوزپلنگ,18582,1386,4.00
9789643413132,سه شنبه‌ها با موری,677067,22129,4.09
964448124X,جبه خانه,259,15,3.37
9645512980,شبِ مادر,66955,2653,4.22
9789643124083,آلفاویل,63,9,3.92
0142437611,Seize the Day,8974,670,3.55
9789643622077,در گرگ و میش راه: خاطرات زینت دریایی,42,4,4.21
9648497400,جن زده,17,2,2.94
Persian,آتش بدون دود,854,69,4.23
0096491975,حکایت آن اژدها,85,7,3.12
Persian,تمدن و ملالت های آن,27188,872,3.77
9643117537,فرار کن، خرگوش,47269,2952,3.58
9649971173,دوست بازیافته,10040,717,3.98
0802130917,Glengarry Glen Ross,13878,345,3.94
Persian,خواهران غریب,7606,235,4.11
9643129224,اسب‌های پشت پنجره,397,32,3.34
0096455126,روز واقعه,374,28,3.80
9646751601,مجلس ضربت‌زدن,275,39,3.82
9646751989,ریشه یابی درخت کهن [پژوهش]‏,81,12,4.06
9789640004906,انسان تک‌ساحتی,4969,208,3.97
9643122751,شرق بهشت,74,0,3.35
9643625397,شب مورد نظر,4210,291,4.16
Persian,دست‌نوشته‌های یک کودک فهیم,382,22,3.64
9643054624,نقد عکس: درآمدی بر درک تصویر,526,19,3.79
9786005327380,پلاک هفت قدیم,14,2,3.93
9643129446,تماشاچی محکوم به اعدام,523,62,3.51
Persian,"فیلم،فرم و فرهنگ (Film, Form and Culture)",60,4,3.35
Persian,از دل گریخته ها,201,11,3.69
Persian,از شریعتی,76,3,3.42
,عقل سرخ,336,34,4.19
9646475337,ابر شلوارپوش,585,34,3.89
9643052648,رمزهای زنده جان,8,0,3.63
Farsi,مسئله حجاب,643,54,3.33
3150006309,König Ödipus,152094,2739,3.69
Persian,شعر زمان ما - احمد شاملو,980,32,3.92
9789644481208,دکتر نون زنش را بیشتر از مصدق دوست دارد,1392,199,3.71
Persian,شما که غریبه نیستید,1421,127,4.08
Persian,وردی که بره ها می خوانند,1208,157,3.94
9789646641686,درجه صفر نوشتار,1291,55,3.87
9648573299,جنگل واژگون,1734,134,3.60
9789643510947,(مکتب های ادبی (دورۀ دوجلدی,299,18,3.90
9647033486,مجموعه ی کامل آثار,352,11,3.97
964312567X,زن‍ان‌ پ‍رده‌ن‍ش‍ی‍ن‌ و ن‍خ‍ب‍گ‍ان‌ ج‍وش‍ن‌پ‍وش‌؛ ب‍رداش‍ت‍ی‌ ن‍وی‍ن‌ از ح‍ق‍وق‌ زن‌ در اس‍لام‌,924,80,3.91
9643627020,نام من سرخ,38851,3525,3.84
9645989078,این سه زن,832,46,3.53
Persian,سنگی بر گوری,1733,143,3.48
9647033079,خاطرات یک مغ,40872,1715,3.64
0076160066,فریدون سه پسر داشت,1836,171,3.85
9644870425,به کی سلام کنم؟,573,27,3.31
9643623335,ها کردن,978,69,2.89
Persian,بیوتن,1567,151,3.56
Persian,داستان خرس‌های پاندا به روایت یک ساکسیفونیست که دوست‌دختری در فرانکفورت دارد,3627,293,3.98
Persian,شعر زمان ما - سهراب سپهری,723,15,3.88
Persian,آیدا در آینه,2221,84,4.20
0008076718,خداوند الموت: حسن صباح,1314,79,3.66
9789643125974,یادداشت های یک دیوانه,11400,516,4.12
Persian,یک هلو هزار هلو,1231,81,4.16
0060638508,Being and Time,17655,494,4.01
9644160428,چنین گفت زرتشت,90789,2737,4.06
9646736122,گیله‌مرد,1961,117,3.51
9643056708,پرنده‌ی من,1450,126,3.16
964687715X,کچل کفترباز,634,18,3.50
9647033834,داستان شاهدخت سرزمین ابدیت,616,55,3.81
Persian,دیوان اشعار پروین اعتصامی,995,42,3.61
0156007754,Blindness,160107,13134,4.10
0439554934,Harry Potter and the Sorcerer's Stone,5794690,92935,4.46
